,City,State
421,Dum Dum,West Bengal
422,Basti,Uttar Pradesh
423,Valsad,Gujarat
424,Ambur,Tamil Nadu
425,Giridih,Jharkhand
426,Chandausi,Uttar Pradesh
427,Gonda,Uttar Pradesh
428,Bally Town,West Bengal
429,Kalol,Gujarat
430,Bagaha,Bihar
431,Ambikapur,Chhattisgarh
432,Achalpur,Maharashtra
433,Gondal,Gujarat
434,Bagalkot,Karnataka
435,Osmanabad,Maharashtra
436,Akbarpur,Uttar Pradesh
437,Champdani,West Bengal
438,Deesa,Gujarat
439,Khurja,Uttar Pradesh
440,Nandurbar,Maharashtra
441,Azamgarh,Uttar Pradesh
442,Ghazipur,Uttar Pradesh
443,Delhi Cantonment,Delhi
444,Firozpur,Punjab
445,Baripada,Orissa
446,Mughalsarai,Uttar Pradesh
447,Anantnag,Jammu and Kashmir
448,Sehore,Madhya Pradesh
449,Bongaon,West Bengal
450,Kanpur Cantonment,Uttar Pradesh
451,Khardaha,West Bengal
452,Tadpatri,Andhra Pradesh
453,Port Blair,Andaman and Nicobar Islands
454,Sultanpur,Uttar Pradesh
455,Bhadrak,Orissa
456,Shikohabad,Uttar Pradesh
457,Jalpaiguri,West Bengal
458,Shamli,Uttar Pradesh
459,Karaikkudi,Tamil Nadu
460,Khargone,Madhya Pradesh
461,Wardha,Maharashtra
462,Ranibennur,Karnataka
463,Kishanganj,Bihar
464,Neyveli,Tamil Nadu
465,Amreli,Gujarat
466,Suryapet,Andhra Pradesh
467,Gangawati,Karnataka
468,Hindaun,Rajasthan
469,Jamalpur,Bihar
470,Bhiwadi,Rajasthan
471,Ballia,Uttar Pradesh
472,Bansberia,West Bengal
473,Tadepalligudem,Andhra Pradesh
474,Miryalaguda,Andhra Pradesh
475,Baraut,Uttar Pradesh
476,Udgir,Maharashtra
477,Betul,Madhya Pradesh
478,Bundi,Rajasthan
479,Jehanabad,Bihar
480,Ambala Sadar,Haryana
481,Nagapattinam,Tamil Nadu
482,Nagaur,Rajasthan
483,Buxar,Bihar
