,Reg. Year,Sex,Age,Basic Qualification,Additional Qualification,State
80,2012,Male,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
81,2012,Female,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,haryana
82,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
83,2012,Male,29,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,uttar pradesh
84,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,kerala
85,2012,Female,29,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,kerala
86,2012,Female,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
87,2012,Male,30,MBBS Agartala Government Medical College Tripura University,,tripura
88,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
89,2012,Female,33,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,uttar pradesh
90,2012,Male,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,gujarat
91,2012,Female,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
92,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
93,2012,Female,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
94,2012,Female,30,MBBS TM C Dr BRAM Teaching Hospital Tripura University,,rajasthan
95,2012,Female,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
96,2012,Female,33,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,haryana
97,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tamil nadu
98,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,jharkhand
99,2014,Female,28,MBBSAgartala Govt Medical CollegeTripura University,,tripura
100,2014,Female,28,MBBSAgartala Government Medical CollegeTripura University,,tripura
101,2014,Male,31,MBBS Agartala Govt Medical CollegemTripura University,,tripura
102,2014,Male,33,MBBS TMC DrBRAMTeaching Hospital Tripura University,,uttar pradesh
103,2014,Male,28,MBBS Agartala Govt Medical CollegeTripura University,,tripura
106,2014,Male,37,MBBS LN Mithila University,MDDermatology Venereology Leprosy Manipur University,tripura
107,2014,Female,31,MBBS T MC Dr BRAM Teaching Hospital Tripura University,,assam
108,2014,Female,31,MBBS Agartala Government Medical College Tripura University,,tripura
109,2012,Male,33,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,assam
110,2014,Male,61,MBBS Sambalpur University,,tripura
111,2014,Male,62,MBBS Guru Nanak Dev University,M S General Surgery Manipur University,tripura
112,2014,Male,50,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
113,2014,Male,54,MBBS University of Kerala,MDPaediatrics Manipur University,tripura
114,2014,Male,58,MBBS Burdwan University,MD Paediatrics PIGMER Chandigarh,tripura
115,2014,Male,59,MBBS Regional Medical College Imphal Manipur University,MD Paediatrics Manipur University,tripura
116,2014,Male,34,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MSObstetrics Gynaecology Manipur University,tripura
117,2014,Male,65,MBBS Sambalpur University,,tripura
118,2014,Male,62,MBBS Sambalpur University,,tripura
119,2014,Female,33,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
120,2012,Female,34,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
121,2014,Male,39,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
122,2014,Male,38,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
123,2014,Female,33,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
124,2014,Male,50,MBBS Regional Institute of Medical Sciences Imphal Manipur University,Diploma in Anaesthesiology Manipur University,tripura
125,2014,Male,41,MBBS Rani Durgawati Vishwavidyalaya Jabalpur,,tripura
126,2014,Male,43,MBBS U Manipur,DCH U Delhi,tripura
127,2014,Male,39,MBBS Calcutta University,,tripura
128,2014,Female,33,MBBS Regional Institute of Medical Sciences Imphal Manipur University,,tripura
129,2014,Male,63,MBBS University of kerala,,tripura
130,2014,Male,32,MBBS Agartala Government Medical College Tripura University,,tripura
131,2012,Male,30,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
132,2014,Male,28,MBBS Agartala Government Medical College Tripura University,,tripura
133,2014,Male,31,MBBS Agartala Government Medical College Tripura University,,tripura
134,2014,Male,40,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MSOtorhinolaryngology Manipur University,tripura
135,2014,Male,39,MBBS North Bengal University,,tripura
136,2014,Male,38,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MSObstetrics Gynaecology Manipur University,tripura
137,2014,Male,34,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MDAnatomy Manipur University,tripura
138,2014,Male,33,MBBS Agartala Government Medical College Tripura University,,tripura
139,2014,Male,59,MBBS University of Kerala,PGDDRM National Institute for the Orthopaedically Handicapped,tripura
140,2014,Male,51,MBBS Manipur University,Post Graduate Diploma in Orthopaedics Nagpur University,tripura
141,2014,Male,56,MBBS University of Sambalpur,MS OrthopaedicsManipur University,tripura
142,2012,Male,31,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,tripura
143,2014,Male,56,MBBS Regional Medical College Imphal Manupur University,MSManipur University,tripura
144,2014,Male,52,MBBS Regional Medical College Imphal Manupur University,,tripura
145,2014,Male,56,MBBS LN Mithila University,,tripura
146,2014,Male,33,MBBS Regional Institute of Medical Sciences Imphal Manipur University,MDAnatomy Manipur University,tripura
147,2014,Male,48,MBBS Barkatullah Viswabidyalaya Bhupal,MS ENT Tripura University,tripura
148,2014,Female,28,MBBS Agartala Government Medical College Tripura University,,tripura
149,2014,Male,63,MBBS University of Kerala,MSOrtho U Calcutta,tripura
150,2014,Male,62,MBBS Berhampur University,Diploma in Maternity and Child Welfare university of Calcutta,tripura
151,2014,Female,33,MBBS Agartala Government Medical College Tripura University,,tripura
152,2014,Male,33,MBBS Rajib Gandhi University of Health Science,MD Pathology DY Patil University,tripura
153,2012,Male,32,MBBS Tripura Medical College Dr BRAM Teaching Hospital Tripura University,,andhra pradesh
